Name," ""Team"""," ""Position"""
Paul Lo Duca," ""NYM"""," ""Catcher"""
Ramon Castro," ""NYM"""," ""Catcher"""
Julio Franco," ""NYM"""," ""First Baseman"""
Carlos Delgado," ""NYM"""," ""First Baseman"""
Jose Valentin," ""NYM"""," ""Second Baseman"""
Anderson Hernandez," ""NYM"""," ""Second Baseman"""
Damion Easley," ""NYM"""," ""Shortstop"""
Jose Reyes," ""NYM"""," ""Shortstop"""
David Wright," ""NYM"""," ""Third Baseman"""
Ben Johnson," ""NYM"""," ""Outfielder"""
Endy Chavez," ""NYM"""," ""Outfielder"""
David Newhan," ""NYM"""," ""Outfielder"""
Carlos Beltran," ""NYM"""," ""Outfielder"""
Shawn Green," ""NYM"""," ""Outfielder"""
Moises Alou," ""NYM"""," ""Outfielder"""
Lastings Milledge," ""NYM"""," ""Outfielder"""
Alay Soler," ""NYM"""," ""Starting Pitcher"""
Mike Pelfrey," ""NYM"""," ""Starting Pitcher"""
Pedro Martinez," ""NYM"""," ""Starting Pitcher"""
Tom Glavine," ""NYM"""," ""Starting Pitcher"""
Chan Ho Park," ""NYM"""," ""Starting Pitcher"""
Orlando Hernandez," ""NYM"""," ""Starting Pitcher"""
Dave Williams," ""NYM"""," ""Starting Pitcher"""
Oliver Perez," ""NYM"""," ""Starting Pitcher"""
John Maine," ""NYM"""," ""Starting Pitcher"""
Marcos Carvajal," ""NYM"""," ""Relief Pitcher"""
Ambiorix Burgos," ""NYM"""," ""Relief Pitcher"""
Jason Vargas," ""NYM"""," ""Relief Pitcher"""
Jon Adkins," ""NYM"""," ""Relief Pitcher"""
Juan Padilla," ""NYM"""," ""Relief Pitcher"""
Duaner Sanchez," ""NYM"""," ""Relief Pitcher"""
Pedro Feliciano," ""NYM"""," ""Relief Pitcher"""
Aaron Heilman," ""NYM"""," ""Relief Pitcher"""
Jorge Sosa," ""NYM"""," ""Relief Pitcher"""
Scott Schoeneweis," ""NYM"""," ""Relief Pitcher"""
Guillermo Mota," ""NYM"""," ""Relief Pitcher"""
Billy Wagner," ""NYM"""," ""Relief Pitcher"""
Philip Humber," ""NYM"""," ""Relief Pitcher"""
Brad Ausmus," ""HOU"""," ""Catcher"""
Humberto Quintero," ""HOU"""," ""Catcher"""
Hector Gimenez," ""HOU"""," ""Catcher"""
Lance Berkman," ""HOU"""," ""First Baseman"""
Mike Lamb," ""HOU"""," ""First Baseman"""
Mark Loretta," ""HOU"""," ""Second Baseman"""
Craig Biggio," ""HOU"""," ""Second Baseman"""
Brooks Conrad," ""HOU"""," ""Second Baseman"""
Chris Burke," ""HOU"""," ""Second Baseman"""
Eric Bruntlett," ""HOU"""," ""Second Baseman"""
Adam Everett," ""HOU"""," ""Shortstop"""
Morgan Ensberg," ""HOU"""," ""Third Baseman"""
Carlos Lee," ""HOU"""," ""Outfielder"""
Jason Lane," ""HOU"""," ""Outfielder"""
Orlando Palmeiro," ""HOU"""," ""Outfielder"""
Luke Scott," ""HOU"""," ""Outfielder"""
Charlton Jimerson," ""HOU"""," ""Outfielder"""
Fernando Nieve," ""HOU"""," ""Starting Pitcher"""
Wandy Rodriguez," ""HOU"""," ""Starting Pitcher"""
Brandon Backe," ""HOU"""," ""Starting Pitcher"""
Matt Albers," ""HOU"""," ""Starting Pitcher"""
Woody Williams," ""HOU"""," ""Starting Pitcher"""
Roy Oswalt," ""HOU"""," ""Starting Pitcher"""
Jason Jennings," ""HOU"""," ""Starting Pitcher"""
Miguel Asencio," ""HOU"""," ""Relief Pitcher"""
Brad Lidge," ""HOU"""," ""Relief Pitcher"""
Trever Miller," ""HOU"""," ""Relief Pitcher"""
David Borkowski," ""HOU"""," ""Relief Pitcher"""
Dan Wheeler," ""HOU"""," ""Relief Pitcher"""
Paul Estrada," ""HOU"""," ""Relief Pitcher"""
Lincoln Holdzkom," ""HOU"""," ""Relief Pitcher"""
Chris Sampson," ""HOU"""," ""Relief Pitcher"""
Chad Qualls," ""HOU"""," ""Relief Pitcher"""
Ezequiel Astacio," ""HOU"""," ""Relief Pitcher"""
Mike Lieberthal," ""LA"""," ""Catcher"""
Russell Martin," ""LA"""," ""Catcher"""
Olmedo Saenz," ""LA"""," ""First Baseman"""
James Loney," ""LA"""," ""First Baseman"""
Nomar Garciaparra," ""LA"""," ""First Baseman"""
Jeff Kent," ""LA"""," ""Second Baseman"""
Ramon Martinez," ""LA"""," ""Second Baseman"""
Marlon Anderson," ""LA"""," ""Second Baseman"""
Rafael Furcal," ""LA"""," ""Shortstop"""
Wilson Betemit," ""LA"""," ""Third Baseman"""
Andy LaRoche," ""LA"""," ""Third Baseman"""
Matt Kemp," ""LA"""," ""Outfielder"""
Andre Ethier," ""LA"""," ""Outfielder"""
Delwyn Young," ""LA"""," ""Outfielder"""
Jason Repko," ""LA"""," ""Outfielder"""
Juan Pierre," ""LA"""," ""Outfielder"""
Luis Gonzalez," ""LA"""," ""Outfielder"""
Jason Schmidt," ""LA"""," ""Starting Pitcher"""
Randy Wolf," ""LA"""," ""Starting Pitcher"""
Brad Penny," ""LA"""," ""Starting Pitcher"""
Derek Lowe," ""LA"""," ""Starting Pitcher"""
Mark Hendrickson," ""LA"""," ""Starting Pitcher"""
Chad Billingsley," ""LA"""," ""Starting Pitcher"""
Takashi Saito," ""LA"""," ""Relief Pitcher"""
Jonathan Broxton," ""LA"""," ""Relief Pitcher"""
Hong-Chih Kuo," ""LA"""," ""Relief Pitcher"""
Eric Stults," ""LA"""," ""Relief Pitcher"""
Chin-Hui Tsao," ""LA"""," ""Relief Pitcher"""
Tim Hamulack," ""LA"""," ""Relief Pitcher"""
Yhency Brazoban," ""LA"""," ""Relief Pitcher"""
Brett Tomko," ""LA"""," ""Relief Pitcher"""
Joe Beimel," ""LA"""," ""Relief Pitcher"""
Elmer Dessens," ""LA"""," ""Relief Pitcher"""
Ryan Budde," ""PHI"""," ""Catcher"""
Rod Barajas," ""PHI"""," ""Catcher"""
Carlos Ruiz," ""PHI"""," ""Catcher"""
Chris Coste," ""PHI"""," ""Catcher"""
Ryan Howard," ""PHI"""," ""First Baseman"""
Wes Helms," ""PHI"""," ""First Baseman"""
Chase Utley," ""PHI"""," ""Second Baseman"""
Danny Sandoval," ""PHI"""," ""Second Baseman"""
Jimmy Rollins," ""PHI"""," ""Shortstop"""
Abraham Nu?ez," ""PHI"""," ""Third Baseman"""
Michael Bourn," ""PHI"""," ""Outfielder"""
Chris Roberson," ""PHI"""," ""Outfielder"""
Jayson Werth," ""PHI"""," ""Outfielder"""
Shane Victorino," ""PHI"""," ""Outfielder"""
Aaron Rowand," ""PHI"""," ""Outfielder"""
Pat Burrell," ""PHI"""," ""Outfielder"""
Greg Dobbs," ""PHI"""," ""Designated Hitter"""
Cole Hamels," ""PHI"""," ""Starting Pitcher"""
Alfredo Simon," ""PHI"""," ""Starting Pitcher"""
Scott Mathieson," ""PHI"""," ""Starting Pitcher"""
Freddy Garcia," ""PHI"""," ""Starting Pitcher"""
Jamie Moyer," ""PHI"""," ""Starting Pitcher"""
Jon Lieber," ""PHI"""," ""Starting Pitcher"""
Brett Myers," ""PHI"""," ""Starting Pitcher"""
Adam Eaton," ""PHI"""," ""Starting Pitcher"""
Geoff Geary," ""PHI"""," ""Relief Pitcher"""
Clay Condrey," ""PHI"""," ""Relief Pitcher"""
Ryan Madson," ""PHI"""," ""Relief Pitcher"""
Antonio Alfonseca," ""PHI"""," ""Relief Pitcher"""
Tom Gordon," ""PHI"""," ""Relief Pitcher"""
Brian Sanches," ""PHI"""," ""Relief Pitcher"""
Jim Ed Warden," ""PHI"""," ""Relief Pitcher"""
Anderson Garcia," ""PHI"""," ""Relief Pitcher"""
Eude Brito," ""PHI"""," ""Relief Pitcher"""
Fabio Castro," ""PHI"""," ""Relief Pitcher"""
Matt Smith," ""PHI"""," ""Relief Pitcher"""
Damian Miller," ""MLW"""," ""Catcher"""
Johnny Estrada," ""MLW"""," ""Catcher"""
Mike Rivera," ""MLW"""," ""Catcher"""
J.D. Closser," ""MLW"""," ""Catcher"""
Prince Fielder," ""MLW"""," ""First Baseman"""
Rickie Weeks," ""MLW"""," ""Second Baseman"""
Tony Graffanino," ""MLW"""," ""Second Baseman"""
Craig Counsell," ""MLW"""," ""Shortstop"""
J.J. Hardy," ""MLW"""," ""Shortstop"""
Bill Hall," ""MLW"""," ""Shortstop"""
Vinny Rottino," ""MLW"""," ""Third Baseman"""
Corey Koskie," ""MLW"""," ""Third Baseman"""
Kevin Mench," ""MLW"""," ""Outfielder"""
Geoff Jenkins," ""MLW"""," ""Outfielder"""
Brady Clark," ""MLW"""," ""Outfielder"""
Tony Gwynn Jr.," ""MLW"""," ""Outfielder"""
Corey Hart," ""MLW"""," ""Outfielder"""
Gabe Gross," ""MLW"""," ""Outfielder"""
Laynce Nix," ""MLW"""," ""Outfielder"""
Drew Anderson," ""MLW"""," ""Outfielder"""
Claudio Vargas," ""MLW"""," ""Starting Pitcher"""
Chris Capuano," ""MLW"""," ""Starting Pitcher"""
Ben Hendrickson," ""MLW"""," ""Starting Pitcher"""
Dave Bush," ""MLW"""," ""Starting Pitcher"""
Carlos Villanueva," ""MLW"""," ""Starting Pitcher"""
Ben Sheets," ""MLW"""," ""Starting Pitcher"""
Jeff Suppan," ""MLW"""," ""Starting Pitcher"""
Brian Shouse," ""MLW"""," ""Relief Pitcher"""
Francisco Cordero," ""MLW"""," ""Relief Pitcher"""
Derrick Turnbow," ""MLW"""," ""Relief Pitcher"""
Matt Wise," ""MLW"""," ""Relief Pitcher"""
Grant Balfour," ""MLW"""," ""Relief Pitcher"""
Dennis Sarfate," ""MLW"""," ""Relief Pitcher"""
Jose Capellan," ""MLW"""," ""Relief Pitcher"""
Greg Aquino," ""MLW"""," ""Relief Pitcher"""
Josh Bard," ""SD"""," ""Catcher"""
Rob Bowen," ""SD"""," ""Catcher"""
Adrian Gonzalez," ""SD"""," ""First Baseman"""
Marcus Giles," ""SD"""," ""Second Baseman"""
Todd Walker," ""SD"""," ""Second Baseman"""
Geoff Blum," ""SD"""," ""Shortstop"""
Khalil Greene," ""SD"""," ""Shortstop"""
Paul McAnulty," ""SD"""," ""Outfielder"""
Terrmel Sledge," ""SD"""," ""Outfielder"""
Jack Cust," ""SD"""," ""Outfielder"""
Jose Cruz Jr.," ""SD"""," ""Outfielder"""
Russell Branyan," ""SD"""," ""Outfielder"""
Mike Cameron," ""SD"""," ""Outfielder"""
Brian Giles," ""SD"""," ""Outfielder"""
Kevin Kouzmanoff," ""SD"""," ""Designated Hitter"""
Mike Thompson," ""SD"""," ""Starting Pitcher"""
Clay Hensley," ""SD"""," ""Starting Pitcher"""
Chris Young," ""SD"""," ""Starting Pitcher"""
Greg Maddux," ""SD"""," ""Starting Pitcher"""
Jake Peavy," ""SD"""," ""Starting Pitcher"""
Scott Cassidy," ""SD"""," ""Relief Pitcher"""
Scott Strickland," ""SD"""," ""Relief Pitcher"""
Scott Linebrink," ""SD"""," ""Relief Pitcher"""
Doug Brocail," ""SD"""," ""Relief Pitcher"""
Trevor Hoffman," ""SD"""," ""Relief Pitcher"""
Heath Bell," ""SD"""," ""Relief Pitcher"""
Royce Ring," ""SD"""," ""Relief Pitcher"""
Cla Meredith," ""SD"""," ""Relief Pitcher"""
Andrew Brown," ""SD"""," ""Relief Pitcher"""
Mike Adams," ""SD"""," ""Relief Pitcher"""
Justin Hampson," ""SD"""," ""Relief Pitcher"""
Kevin Cameron," ""SD"""," ""Relief Pitcher"""
Ryan Ketchner," ""SD"""," ""Relief Pitcher"""
Brian Schneider," ""WAS"""," ""Catcher"""
Jesus Flores," ""WAS"""," ""Catcher"""
Larry Broadway," ""WAS"""," ""First Baseman"""
Nick Johnson," ""WAS"""," ""First Baseman"""
Bernie Castro," ""WAS"""," ""Second Baseman"""
Josh Wilson," ""WAS"""," ""Shortstop"""
Cristian Guzman," ""WAS"""," ""Shortstop"""
Felipe Lopez," ""WAS"""," ""Shortstop"""
Ryan Zimmerman," ""WAS"""," ""Third Baseman"""
Nook Logan," ""WAS"""," ""Outfielder"""
Ryan Church," ""WAS"""," ""Outfielder"""
Kory Casto," ""WAS"""," ""Outfielder"""
Mike Restovich," ""WAS"""," ""Outfielder"""
Alex Escobar," ""WAS"""," ""Outfielder"""
Austin Kearns," ""WAS"""," ""Outfielder"""
Chris Snelling," ""WAS"""," ""Outfielder"""
Billy Traber," ""WAS"""," ""Starting Pitcher"""
Tim Redding," ""WAS"""," ""Starting Pitcher"""
John Patterson," ""WAS"""," ""Starting Pitcher"""
Shawn Hill," ""WAS"""," ""Starting Pitcher"""
Joel Hanrahan," ""WAS"""," ""Starting Pitcher"""
Mike O'Connor," ""WAS"""," ""Starting Pitcher"""
Emiliano Fruto," ""WAS"""," ""Relief Pitcher"""
Chris Schroder," ""WAS"""," ""Relief Pitcher"""
Brett Campbell," ""WAS"""," ""Relief Pitcher"""
Beltran Perez," ""WAS"""," ""Relief Pitcher"""
Levale Speigner," ""WAS"""," ""Relief Pitcher"""
Jason Bergmann," ""WAS"""," ""Relief Pitcher"""
Saul Rivera," ""WAS"""," ""Relief Pitcher"""
Chris Booker," ""WAS"""," ""Relief Pitcher"""
Micah Bowie," ""WAS"""," ""Relief Pitcher"""
Jon Rauch," ""WAS"""," ""Relief Pitcher"""
Jerome Williams," ""WAS"""," ""Relief Pitcher"""
Luis Ayala," ""WAS"""," ""Relief Pitcher"""
Ryan Wagner," ""WAS"""," ""Relief Pitcher"""
Chad Cordero," ""WAS"""," ""Relief Pitcher"""
Humberto Cota," ""PIT"""," ""Catcher"""
Ronny Paulino," ""PIT"""," ""Catcher"""
Adam LaRoche," ""PIT"""," ""First Baseman"""
Ryan Doumit," ""PIT"""," ""First Baseman"""
Brad Eldred," ""PIT"""," ""First Baseman"""
Jose Castillo," ""PIT"""," ""Second Baseman"""
Jack Wilson," ""PIT"""," ""Shortstop"""
Freddy Sanchez," ""PIT"""," ""Third Baseman"""
Jason Bay," ""PIT"""," ""Outfielder"""
Jose Bautista," ""PIT"""," ""Outfielder"""
Xavier Nady," ""PIT"""," ""Outfielder"""
Jody Gerut," ""PIT"""," ""Outfielder"""
Nate McLouth," ""PIT"""," ""Outfielder"""
Chris Duffy," ""PIT"""," ""Outfielder"""
Rajai Davis," ""PIT"""," ""Outfielder"""
Shane Youman," ""PIT"""," ""Starting Pitcher"""
Yoslan Herrera," ""PIT"""," ""Starting Pitcher"""
Josh Shortslef," ""PIT"""," ""Starting Pitcher"""
Zach Duke," ""PIT"""," ""Starting Pitcher"""
Paul Maholm," ""PIT"""," ""Starting Pitcher"""
Tom Gorzelanny," ""PIT"""," ""Starting Pitcher"""
Shawn Chacon," ""PIT"""," ""Starting Pitcher"""
Tony Armas Jr.," ""PIT"""," ""Starting Pitcher"""
Ian Snell," ""PIT"""," ""Starting Pitcher"""
Sean Burnett," ""PIT"""," ""Starting Pitcher"""
John Grabow," ""PIT"""," ""Relief Pitcher"""
Marty McLeary," ""PIT"""," ""Relief Pitcher"""
Salomon Torres," ""PIT"""," ""Relief Pitcher"""
Damaso Marte," ""PIT"""," ""Relief Pitcher"""
Matt Capps," ""PIT"""," ""Relief Pitcher"""
Josh Sharpless," ""PIT"""," ""Relief Pitcher"""
Bryan Bullington," ""PIT"""," ""Relief Pitcher"""
Jonah Bayliss," ""PIT"""," ""Relief Pitcher"""
Brian Rogers," ""PIT"""," ""Relief Pitcher"""
Juan Perez," ""PIT"""," ""Relief Pitcher"""
Bengie Molina," ""SF"""," ""Catcher"""
Eliezer Alfonzo," ""SF"""," ""Catcher"""
Lance Niekro," ""SF"""," ""First Baseman"""
Mark Sweeney," ""SF"""," ""First Baseman"""
Ray Durham," ""SF"""," ""Second Baseman"""
Kevin Frandsen," ""SF"""," ""Second Baseman"""
Omar Vizquel," ""SF"""," ""Shortstop"""
Rich Aurilia," ""SF"""," ""Third Baseman"""
Pedro Feliz," ""SF"""," ""Third Baseman"""
Todd Linden," ""SF"""," ""Outfielder"""
Dave Roberts," ""SF"""," ""Outfielder"""
Jason Ellison," ""SF"""," ""Outfielder"""
Randy Winn," ""SF"""," ""Outfielder"""
Ryan Klesko," ""SF"""," ""Outfielder"""
Barry Bonds," ""SF"""," ""Outfielder"""
Fred Lewis," ""SF"""," ""Outfielder"""
Kelyn Acosta," ""SF"""," ""Starting Pitcher"""
Jonathan Sanchez," ""SF"""," ""Starting Pitcher"""
Matt Cain," ""SF"""," ""Starting Pitcher"""
Matt Morris," ""SF"""," ""Starting Pitcher"""
Russ Ortiz," ""SF"""," ""Starting Pitcher"""
Noah Lowry," ""SF"""," ""Starting Pitcher"""
Barry Zito," ""SF"""," ""Starting Pitcher"""
Vinnie Chulk," ""SF"""," ""Relief Pitcher"""
Kevin Correia," ""SF"""," ""Relief Pitcher"""
Steve Kline," ""SF"""," ""Relief Pitcher"""
Armando Benitez," ""SF"""," ""Relief Pitcher"""
Scott Munter," ""SF"""," ""Relief Pitcher"""
Jack Taschner," ""SF"""," ""Relief Pitcher"""
Brian Wilson," ""SF"""," ""Relief Pitcher"""
Merkin Valdez," ""SF"""," ""Relief Pitcher"""
Brad Hennessey," ""SF"""," ""Relief Pitcher"""
Billy Sadler," ""SF"""," ""Relief Pitcher"""
Pat Misch," ""SF"""," ""Relief Pitcher"""
Gary Bennett," ""STL"""," ""Catcher"""
Yadier Molina," ""STL"""," ""Catcher"""
John Nelson," ""STL"""," ""First Baseman"""
Albert Pujols," ""STL"""," ""First Baseman"""
Adam Kennedy," ""STL"""," ""Second Baseman"""
Aaron Miles," ""STL"""," ""Second Baseman"""
David Eckstein," ""STL"""," ""Shortstop"""
Scott Rolen," ""STL"""," ""Third Baseman"""
Scott Spiezio," ""STL"""," ""Third Baseman"""
Jim Edmonds," ""STL"""," ""Outfielder"""
So Taguchi," ""STL"""," ""Outfielder"""
Juan Encarnacion," ""STL"""," ""Outfielder"""
Skip Schumaker," ""STL"""," ""Outfielder"""
John Rodriguez," ""STL"""," ""Outfielder"""
Chris Duncan," ""STL"""," ""Outfielder"""
Adam Wainwright," ""STL"""," ""Starting Pitcher"""
Mark Mulder," ""STL"""," ""Starting Pitcher"""
Anthony Reyes," ""STL"""," ""Starting Pitcher"""
Ryan Franklin," ""STL"""," ""Starting Pitcher"""
Kip Wells," ""STL"""," ""Starting Pitcher"""
Chris Carpenter," ""STL"""," ""Starting Pitcher"""
Russ Springer," ""STL"""," ""Relief Pitcher"""
Jason Isringhausen," ""STL"""," ""Relief Pitcher"""
Ricardo Rincon," ""STL"""," ""Relief Pitcher"""
Braden Looper," ""STL"""," ""Relief Pitcher"""
Randy Flores," ""STL"""," ""Relief Pitcher"""
Josh Hancock," ""STL"""," ""Relief Pitcher"""
Brad Thompson," ""STL"""," ""Relief Pitcher"""
Tyler Johnson," ""STL"""," ""Relief Pitcher"""
Chris Narveson," ""STL"""," ""Relief Pitcher"""
Randy Keisler," ""STL"""," ""Relief Pitcher"""
Josh Kinney," ""STL"""," ""Relief Pitcher"""
